表紙画像説明,表紙テキストエリア1,表紙テキストエリア2,内容1画像説明,内容1テキストエリア1,内容1テキストエリア2,内容2画像説明,内容2テキストエリア1,内容2テキストエリア2,内容3画像説明,内容3テキストエリア1,内容3テキストエリア2,投稿のテキスト+ハッシュタグ
秋田県の景色を背景に「Kitazuna:未来杉の守護者」のロゴが輝くタイトル画面、レトロゲーム風のドット絵調、明るく温かみのある配色,"プロジェクト\n始動","秋田の魅力を\n世界へ","緒方孝治氏によるキャラクターデザインのラフスケッチ、くにおくんスタイルの2.5頭身キャラクター、鉛筆で描かれた温かみのある線画","緒方孝治\nデザイン","くにおくん\nシリーズの\n巨匠","秋田県の地図に男鹿・湯沢・秋田市・三湖・大館・鹿角の6つのエリアが色分けされた図、実在する観光地のアイコン配置","聖地巡礼\nゲーム","秋田県全域を\n冒険する物語","ゲーム開発中の画面、キャラクターが秋田の風景の中を歩くシーン、レトロ調のドット絵背景","AI×レトロ","伝統と現代の\n融合","秋田を舞台にした本格RPG「Kitazuna:未来杉の守護者」始動。緒方孝治氏デザイン、6つの地域を巡る聖地巡礼型ゲームで秋田の魅力を世界に発信します。
#Kitazuna
#秋田ゲーム
#緒方孝治
#くにおくん
#レトロゲーム
#聖地巡礼
#ゲーム開発
#if塾"
内向的な大学生・杉野健太が新幹線内で悩む表情のイラスト、リアル調の淡い水彩画タッチ、白いTシャツを着た20代男性,"主人公\n健太","内向的な\n大学生の冒険","健太のキャラクター設定資料、正面・横顔・後ろ姿の3方向図、くにおくんスタイルの2.5頭身デフォルメ、茶髪で白Tシャツ",キャラ設定,"緒方孝治氏\nデザインの\n温かみ","健太の表情差分5種類、通常・喜び・悲しみ・怒り・驚きの感情を表現、それぞれに感情色システムの色が背景に配置",表情差分,"感情を色で\n表現する","健太がドット絵になった歩行アニメーション3フレーム、32×32pxサイズ、滑らかな動きのアニメーションGIF",ドット絵化,"レトロ調に\n変換された健太","主人公・杉野健太の制作完了。内向的な大学生が祖父の依頼で秋田へ。表情差分5種、ドット絵アニメーション完成、感情色システムで豊かな感情表現を実現しました。
#杉野健太
#主人公
#キャラクターデザイン
#表情差分
#ドット絵
#感情色システム
#ゲーム制作
#くにおくんスタイル"
男鹿半島のなまはげ館の写真、伝統的な茅葺き風の日本家屋、ドット絵調に加工、茶色と緑の配色,"なまはげ\n取材","男鹿の伝統を\n訪ねて","実際のなまはげの面の写真、青い鬼面に赤い髪、角が2本、迫力ある表情のクローズアップ","本物の\nなまはげ","伝統の\n迫力","なぎさのキャラクターデザインラフ、なまはげの面を被った戦士スタイル、藁の装束と包丁を持つ勇ましいポーズ、鉛筆スケッチ","なぎさ\nラフ案","伝統×現代の\n融合デザイン","なぎさの完成カラーイラスト、青いなまはげ面に赤髪、黄色い藁装束、右手に包丁・左手に提灯付き木棒、くにおくんスタイル2.5頭身","なぎさ\n完成","男鹿の守護者\n誕生","男鹿のなまはげをモチーフにしたキャラクター「なぎさ」制作完了。現地取材で本物の迫力を体感、伝統の力強さを残しつつ親しみやすいデザインに仕上げました。
#なまはげ
#なぎさ
#男鹿半島
#キャラクター完成
#伝統文化
#秋田
#ゲームキャラ
#くにおくんスタイル"
なぎさの表情差分7種類、通常・喜び・悲しみ・怒り・困惑・決意・希望、それぞれ異なる感情色の背景,"表情差分\n制作","7種類の\n豊かな感情","なぎさのドット絵アイドルアニメーション3フレーム、64×64pxサイズ、呼吸するように軽く揺れる動き","アイドル\nモーション","待機時の\n自然な動き","なぎさのドット絵歩行アニメーション2フレーム、足を交互に動かし腕を振る歩行動作、滑らかなループ","ウォーク\nモーション","移動時の\nアニメーション","なぎさのドット絵攻撃アニメーション3フレーム、包丁を振り上げる予備動作から斬撃までの流れ、エフェクト付き","アタック\nモーション","戦闘時の\n迫力演出","なぎさのアニメーション素材が完成。表情差分7種、アイドル・ウォーク・アタックの各モーション、全てドット絵で丁寧に制作、ゲーム内で生き生きと動きます。
#なぎさアニメ
#ドット絵
#モーション制作
#表情差分
#ゲームアニメ
#フレームアニメ
#制作完了
#レトロゲーム"
小野小町の肖像画と歴史資料、平安時代の優雅な装束、古典的な日本画調,小野小町,"平安美人の\n伝説","湯沢市の小町堂の写真、伝統的な寺院建築、ドット絵調の背景イラスト、緑豊かな環境",小町堂取材,"湯沢の名所を\n訪問","小町のキャラクターデザインラフ、黒髪ツインテール・編笠・扇子を持つ元気な少女、くにおくんスタイル2.5頭身",小町ラフ,"平安×現代の\n美少女","小町の完成カラーイラスト、赤い着物に白い帯、金色のアクセント、扇子と編笠、活発で美しいポーズ",小町完成,"湯沢の秋田美人\nキャラ","湯沢を代表する小野小町をモチーフにした「小町」完成。平安の優雅さと現代の活発さを融合、赤・白・金の配色で華やかに、扇子と編笠が特徴的です。
#小野小町
#小町
#湯沢
#秋田美人
#キャラクター
#平安美人
#ゲーム制作
#くにおくんスタイル"
小町の表情差分5種類、通常・喜び・悲しみ・怒り・愛情、感情色システムに対応した背景色,小町の表情,"豊かな感情\n表現","小町のドット絵立ちポーズ、64×64px、赤い着物と扇子が特徴的、透過PNG背景",小町ドット,"立ち絵\nバージョン","小町がゲーム内会話シーンに登場している画面、顔グラフィックと会話ウィンドウ、感情漢字「喜」が黄色く光る","会話シーン\n実装","感情色が\n背景に表示","健太と小町が並んで立つゲーム画面、秋田の風景背景、2人のキャラクターが冒険の仲間として",仲間が増加,"冒険が\n広がる","小町のゲーム内実装完了。表情差分5種、ドット絵立ち絵、会話シーン用顔グラフィック、健太に続く2人目の仲間として物語を盛り上げます。
#小町実装
#ゲーム画面
#会話システム
#仲間キャラ
#感情色
#ドット絵
#開発進捗
#Kitazuna"
秋田犬の写真、オレンジと白の毛色、優しい表情、実写の高画質写真,秋田犬,忠誠の象徴,"忠犬ハチ公の銅像写真、大館駅前、歴史的なモニュメント、観光名所",ハチ公,"忠犬物語の\n舞台・大館","秋田のキャラクターデザインラフ、秋田犬を擬人化、耳と尻尾が特徴、渦巻き模様、くにおくんスタイル",秋田ラフ,"犬×人の\n融合デザイン","秋田の完成カラーイラスト、オレンジ・ベージュ・白の配色、赤いバンダナと青い袴、渦巻き模様が体側と尻尾に",秋田完成,"大館の忠犬\nキャラ誕生","大館の秋田犬をモチーフにした「秋田」完成。忠犬ハチ公の忠誠心を受け継ぐ優しく頼れる仲間、オレンジの毛色と渦巻き模様が特徴的なデザインです。
#秋田犬
#秋田
#大館
#ハチ公
#忠犬
#キャラクター完成
#擬人化
#くにおくんスタイル"
秋田の表情差分5種類、通常・喜び・悲しみ・怒り・驚き、犬らしい愛らしい表情,秋田の表情,"犬らしい\n愛らしさ","秋田のドット絵アイドルアニメーション、尻尾を揺らす動き、64×64px、3フレーム",尻尾の動き,"犬らしい\n仕草","秋田のドット絵歩行アニメーション、四足歩行風の動き、2フレーム、滑らかなループ",歩行モーション,"犬らしい\n動き","秋田のドット絵ジャンプアニメーション、飛び跳ねる動作、1フレーム、元気な印象",ジャンプ,"元気いっぱいの\n秋田","秋田のアニメーション素材完成。表情差分5種、尻尾を揺らすアイドル、犬らしい歩行、元気なジャンプ、愛らしい動きでプレイヤーを癒します。
#秋田アニメ
#ドット絵
#モーション
#秋田犬
#アニメーション
#犬キャラ
#制作完了
#可愛い"
稲庭うどんの製麺工程写真、職人が手延べする様子、伝統的な作業場、実写の高画質,稲庭うどん,"400年の\n伝統技術","稲庭うどんの完成品写真、美しい細麺、透明感のある白、つるつるの質感",美しい細麺,"秋田の\n誇るグルメ","稲庭のキャラクターデザインラフ、職人風の装い、うどんモチーフの装飾、くにおくんスタイル2.5頭身",稲庭ラフ,"職人の技を\nキャラに","稲庭の完成カラーイラスト、白と茶色の配色、エプロン姿、うどんの束を持つ、真面目な表情",稲庭完成,"湯沢の職人\nキャラ","稲庭うどんをモチーフにした「稲庭」完成。400年続く伝統の職人技をキャラクターで表現、真面目で誇り高い職人気質が魅力です。
#稲庭うどん
#稲庭
#湯沢
#職人
#伝統技術
#キャラクター
#秋田グルメ
#くにおくんスタイル"
竿燈まつりの写真、夜空に輝く提灯、演技者が竿燈を掲げる迫力のシーン、実写の高画質,竿燈まつり,"秋田の夏の\n風物詩","竿燈の提灯のクローズアップ写真、金色に輝く提灯、伝統的な文様、美しい光",提灯の光,祭りの華,"関東のキャラクターデザインラフ、竿燈モチーフの衣装、提灯柄の装飾、躍動感あるポーズ、くにおくんスタイル",関東ラフ,"祭りの情熱を\nキャラに","関東の完成カラーイラスト、金色と赤の配色、提灯柄の服、竿燈を掲げるポーズ、笑顔で活発",関東完成,"秋田市の\n祭りキャラ","竿燈まつりをモチーフにした「関東」完成。祭りの躍動感と情熱をキャラクターで表現、金と赤の華やかな配色、提灯モチーフが特徴です。
#竿燈まつり
#関東
#秋田市
#祭り
#伝統文化
#キャラクター完成
#夏祭り
#くにおくんスタイル"
稲庭と関東が向き合う対立シーンのイラスト、緊張感のある構図、ラフスケッチ,親子対立,"伝統vs革新の\n物語","稲庭が真面目な表情で麺を延ばすシーン、職人の厳格さを表現、落ち着いた配色","父・稲庭","伝統を守る\n厳格な姿勢","関東が笑顔で竿燈を掲げるシーン、革新的で情熱的、明るく華やか配色","息子・関東","新しい技に\n挑戦する情熱","稲庭と関東が和解して握手するシーン、温かい雰囲気、背景に秋田の風景",和解,"対立から\n理解へ","稲庭と関東は親子キャラクター。伝統を重んじる父と革新を求める息子の対立と和解、物語の核心となる感動エピソードです。
#親子
#稲庭
#関東
#伝統と革新
#物語
#対立と和解
#キャラクター関係
#感動"
きりたんぽ鍋の写真、湯気の立つ美味しそうな鍋、比内地鶏・舞茸・セリ・ごぼう、実写の高画質,きりたんぽ,"秋田の\nソウルフード","きりたんぽの写真、焼きたてのきりたんぽ、香ばしい焼き色、つやつやの質感",焼きたて,"米の旨味が\n凝縮","たんぽのキャラクターデザインラフ、きりたんぽモチーフの装飾、料理人風の装い、くにおくんスタイル",たんぽラフ,"食材を\nキャラに","たんぽの完成カラーイラスト、茶色・ベージュの配色、エプロン姿、きりたんぽを持つ、陽気な笑顔",たんぽ完成,"鹿角のグルメ\nキャラ","きりたんぽをモチーフにした「たんぽ」完成。秋田のソウルフードを代表する陽気で温かいキャラクター、茶色の配色で親しみやすいデザインです。
#きりたんぽ
#たんぽ
#鹿角
#秋田グルメ
#郷土料理
#キャラクター
#ソウルフード
#くにおくんスタイル"
たんぽの表情差分5種類、通常・喜び・悲しみ・怒り・困惑、感情豊かな表情,たんぽの表情,"陽気な\nキャラクター","たんぽのドット絵立ちポーズ、64×64px、きりたんぽを持つ特徴的なポーズ、透過PNG",たんぽドット,"立ち絵\nバージョン","たんぽのドット絵歩行アニメーション、元気に歩く動き、2フレーム、滑らかなループ",歩行モーション,元気いっぱい,"たんぽのドット絵料理アニメーション、きりたんぽを調理する動作、3フレーム、特殊モーション",料理モーション,"特別な\nアクション","たんぽのアニメーション素材完成。表情差分5種、立ち絵、歩行モーション、料理モーション、陽気で温かみのあるキャラクターが完成しました。
#たんぽアニメ
#ドット絵
#モーション制作
#きりたんぽ
#アニメーション
#料理キャラ
#制作完了
#レトロゲーム"
八郎太郎伝説の資料、龍神伝説の古文書や絵巻物、歴史的な文献,八郎太郎,龍神の伝説,"八郎潟の風景写真、広大な湖と空、神秘的な雰囲気、実写の高画質",八郎潟,伝説の舞台,"八郎のキャラクターデザインラフ、龍の角と鱗、和風鎧の戦士スタイル、くにおくんスタイル2.5頭身",八郎ラフ,"龍神を\nキャラに","八郎の完成カラーイラスト、青緑の龍モチーフ、金色の鎧装飾、威厳ある戦士、力強いポーズ",八郎完成,"男鹿の龍神\nキャラ","八郎太郎伝説をモチーフにした「八郎」完成。龍神の威厳と力強さを表現、青緑と金の配色で神秘的な戦士キャラクターです。
#八郎太郎
#八郎
#男鹿
#龍神伝説
#三湖伝説
#キャラクター
#伝説
#くにおくんスタイル"
田沢湖の写真、日本一深い湖の瑠璃色の美しい湖面、晴天の空、実写の高画質,田沢湖,"日本一深い\n神秘の湖","たつこ姫の像の写真、金色に輝く辰子像、田沢湖畔のシンボル、美しいモニュメント",たつこ姫像,"永遠の美の\nシンボル","辰子のキャラクターデザインラフ、龍姫の装い、水と湖モチーフの装飾、くにおくんスタイル",辰子ラフ,"龍姫を\nキャラに","辰子の完成カラーイラスト、青と白の配色、水の流れモチーフの衣装、優雅で神秘的",辰子完成,"仙北の龍姫\nキャラ","田沢湖のたつこ姫伝説をモチーフにした「辰子」完成。永遠の美を求めた龍姫の神秘性を表現、青と白の配色で優雅なキャラクターです。
#たつこ姫
#辰子
#田沢湖
#龍姫伝説
#三湖伝説
#キャラクター
#仙北
#くにおくんスタイル"
十和田湖の風景写真、澄んだ青い湖面、周囲の山々、神秘的な自然、実写の高画質,十和田湖,"神秘の\nカルデラ湖","南祖坊の伝説資料、僧侶が龍になった伝説、古文書や絵巻物",南祖坊,僧侶から龍へ,"八郎・辰子・南祖坊の三湖伝説を描いたイラスト、3人のキャラクターが集合、ラフスケッチ",三湖伝説,"3つの湖の\n物語が交差","三湖伝説の相関図、八郎潟・田沢湖・十和田湖の関係性、キャラクター同士の繋がり",物語の構造,"伝説が\n繋がる","秋田の三湖伝説がゲーム内で交差。八郎・辰子・南祖坊の3人の龍神キャラクターが織りなす壮大な物語、伝説の再現に挑戦中です。
#三湖伝説
#八郎潟
#田沢湖
#十和田湖
#龍神
#伝説
#物語
#秋田"
スギノオウのキャラクターデザインラフ、巨大な杉の木をモチーフにした威圧感のあるボスキャラ、ラフスケッチ,スギノオウ,"ラスボス\nデザイン","秋田杉の森の写真、高くそびえる巨大な杉の木、神聖な雰囲気、実写の高画質",秋田杉,"木の巨人の\nモチーフ","スギノオウの完成カラーイラスト、濃緑と茶色の配色、木の質感、威厳と神秘性、巨大感","スギノオウ\n完成","未来杉の化身\nラスボス","スギノオウとの最終決戦シーンのイラスト、健太と仲間たちが立ち向かう、壮大な構図",最終決戦,"クライマックス\nバトル","ラスボス「スギノオウ」完成。秋田杉をモチーフにした威厳ある存在、未来杉の化身として物語のクライマックスを飾ります。
#スギノオウ
#ラスボス
#秋田杉
#ボスキャラ
#最終決戦
#キャラクター
#未来杉
#Kitazuna"
ゲーム内会話シーンのUI画面、健太となぎさが会話している、顔グラフィック表示、感情漢字が光る,会話UI,"感情色\nシステム","感情漢字のサンプル一覧、喜・憂・怒・困・決・愛・知・希、それぞれ異なる色で光る",感情漢字,"8種類の\n感情を色で","感情色の背景が顔グラフィックに反映されている画面、黄色い喜びの背景に笑顔のキャラクター",背景連動,"顔グラと\n感情色が一体","会話テキストが1文字ずつ表示されるアニメーション、快適なテキスト送り速度",テキスト送り,"快適な\n操作性","Kitazunaの独自システム「感情色」完成。会話中の感情を漢字と色で表現、日本文化を活かした革新的なUIで感情豊かな物語体験を提供します。
#感情色システム
#UI制作
#会話システム
#漢字
#日本文化
#ゲームシステム
#革新的
#Kitazuna"
久保田城の写真、三重櫓と桜の木、秋田市のシンボル、春の桜が美しい、実写の高画質,久保田城,"秋田市の\nシンボル","久保田城のドット絵背景イラスト、レトロゲーム風、桜と城、ピンクと白と黒の配色",ドット絵化,"レトロ調の\n背景","千秋公園の桜並木の写真、満開の桜、春の美しい風景、実写の高画質",千秋公園,桜の名所,"千秋公園のドット絵背景イラスト、桜のトンネル、レトロゲーム風、温かみのある配色",背景完成,"春の秋田を\n再現","秋田市の名所・久保田城と千秋公園の背景イラスト完成。実際の写真を基にドット絵化、春の桜が美しいレトロ調の温かみある背景です。
#久保田城
#千秋公園
#背景イラスト
#ドット絵
#秋田市
#桜
#レトロゲーム
#聖地巡礼"
なまはげ館のドット絵背景イラスト、伝統的な日本家屋、茶色と緑の配色、レトロゲーム風,なまはげ館,"男鹿の名所\nを再現","男鹿半島の海岸風景のドット絵背景、青い日本海、荒々しい岩場、レトロ調",男鹿の海,"日本海の\n風景","ゴジラ岩のドット絵背景イラスト、特徴的な岩の形状、夕日が美しい、男鹿の観光名所",ゴジラ岩,夕日の名所,"寒風山のドット絵背景イラスト、なだらかな山と展望台、360度のパノラマ、レトロゲーム風",寒風山,絶景スポット,"男鹿半島の観光名所をドット絵背景で再現。なまはげ館・ゴジラ岩・寒風山・日本海、実在する場所を忠実に表現したレトロ調の背景です。
#男鹿半島
#背景イラスト
#ドット絵
#なまはげ館
#ゴジラ岩
#寒風山
#観光名所
#聖地巡礼"
田沢湖畔のドット絵背景イラスト、瑠璃色の湖と辰子像、レトロゲーム風、青と金の配色,田沢湖背景,"日本一深い湖\nを再現","抱返り渓谷のドット絵背景イラスト、紅葉の美しい渓谷、赤・黄・緑の配色、秋の風景",抱返り渓谷,紅葉の名所,"角館武家屋敷のドット絵背景イラスト、伝統的な武家屋敷、黒塀と桜、レトロ調",角館,"みちのくの\n小京都","樺細工伝承館のドット絵背景イラスト、伝統工芸の建物、茶色の木造建築、レトロゲーム風",樺細工館,"角館の伝統\n工芸","仙北市の観光名所をドット絵背景で再現。田沢湖・抱返り渓谷・角館武家屋敷・樺細工伝承館、四季折々の美しい風景をレトロ調で表現しました。
#田沢湖
#角館
#背景イラスト
#ドット絵
#抱返り渓谷
#武家屋敷
#仙北市
#聖地巡礼"
横手かまくらのドット絵背景イラスト、雪景色に光るかまくら、冬の祭り、青と白の配色、レトロゲーム風,"横手\nかまくら","冬の祭り\nを再現","横手やきそばのイラスト、目玉焼きが乗った焼きそば、B級グルメ、美味しそうな質感","横手\nやきそば","ご当地\nグルメ","小安峡大噴湯のドット絵背景イラスト、温泉の蒸気が噴き出す絶景、白い湯気、レトロ調",小安峡,温泉の絶景,"川連漆器のイラスト、艶やかな赤い漆器、伝統工芸品、美しい光沢",川連漆器,"湯沢の伝統\n工芸","湯沢市の名所と名物をドット絵で再現。横手かまくら・横手やきそば・小安峡大噴湯・川連漆器、冬の祭りとグルメ、伝統工芸を表現しました。
#横手かまくら
#横手やきそば
#小安峡
#川連漆器
#湯沢
#ドット絵
#背景イラスト
#聖地巡礼"
大館駅前のハチ公像のドット絵背景イラスト、忠犬ハチ公のモニュメント、レトロゲーム風,ハチ公像,"大館の\nシンボル","秋田犬会館のドット絵背景イラスト、秋田犬の博物館、犬のイラスト、レトロ調",秋田犬会館,"秋田犬の\n聖地","曲げわっぱのイラスト、美しい木目の弁当箱、伝統工芸品、茶色の温かみ",曲げわっぱ,"大館の伝統\n工芸","きりたんぽ発祥の地の看板イラスト、鹿角の名物、ドット絵調、温かみのある配色",発祥の地,"きりたんぽの\nルーツ","大館・鹿角の名所と名物をドット絵で再現。ハチ公像・秋田犬会館・曲げわっぱ・きりたんぽ発祥の地、忠犬と伝統工芸、グルメを表現しました。
#大館
#鹿角
#ハチ公
#秋田犬会館
#曲げわっぱ
#きりたんぽ
#ドット絵
#聖地巡礼"
秋田県全体のワールドマップのドット絵、6つのエリアが色分けされた地図、レトロゲーム風の温かい世界観,"ワールド\nマップ","秋田県全域を\n冒険","男鹿エリアのマップ拡大図、なまはげ館・ゴジラ岩・寒風山のアイコン、青と緑の配色",男鹿エリア,"海と伝統の\nエリア","湯沢エリアのマップ拡大図、小町堂・小安峡・川連のアイコン、赤とピンクの配色",湯沢エリア,"美人と工芸の\nエリア","秋田市エリアのマップ拡大図、久保田城・竿燈・千秋公園のアイコン、金と赤の配色","秋田市\nエリア","祭りと歴史の\nエリア","ゲームのワールドマップ完成。秋田県全域を6つのエリアに分け、各地の名所を巡る冒険、ドット絵のレトロ調で温かみのある世界を表現しました。
#ワールドマップ
#秋田県
#マップデザイン
#ドット絵
#6つのエリア
#聖地巡礼
#レトロゲーム
#Kitazuna"
三湖エリアのマップ拡大図、八郎潟・田沢湖・十和田湖のアイコン、青と水色の配色、レトロゲーム風,三湖エリア,"伝説の湖\nエリア","大館エリアのマップ拡大図、ハチ公像・秋田犬会館・曲げわっぱのアイコン、オレンジとベージュの配色",大館エリア,"忠犬と工芸の\nエリア","鹿角エリアのマップ拡大図、きりたんぽ発祥地・十和田湖・大湯環状列石のアイコン、茶色と緑の配色",鹿角エリア,"グルメと\n歴史のエリア","全6エリアを繋ぐワールドマップ完成図、各エリアが線で繋がり冒険のルートが見える、レトロ調",冒険の旅路,"全エリアを\n巡る","三湖・大館・鹿角の3エリアも完成。全6エリアのワールドマップが揃いました、各地の特色を活かした配色とアイコンで秋田の魅力を表現しています。
#三湖エリア
#大館エリア
#鹿角エリア
#ワールドマップ
#全エリア完成
#秋田観光
#レトロゲーム
#聖地巡礼"
全キャラクター集合イラスト、健太・なぎさ・小町・秋田・稲庭・関東・たんぽ・八郎・辰子が並ぶ、くにおくんスタイル,"全キャラ\n集合","9人の仲間\nたち","各キャラクターのドット絵立ち絵を並べた画像、64×64px、透過PNG、レトロゲーム風","ドット絵\n集合","レトロ調の\n仲間たち","各キャラクターの表情差分を一覧にした画像、通常・喜び・悲しみ・怒り・困惑など、感情色対応","表情差分\n一覧","豊かな感情\n表現","各キャラクターのアニメーションGIF、アイドル・歩行・攻撃モーションが動く、ループ再生",全員が動く,"生き生きと\n動くキャラ","全キャラクターの制作完了。健太から辰子まで9人の個性豊かな仲間たち、ドット絵・表情差分・アニメーション、全ての素材が揃いました。
#全キャラ完成
#キャラクター集合
#ドット絵
#表情差分
#アニメーション
#9人の仲間
#制作完了
#Kitazuna"
ゲーム開発画面、Unity エディタでキャラクターを配置している作業画面、プログラミングコード表示,開発中,"Unityで\n制作","キャラクターがマップ上を歩くテストプレイ画面、なぎさが男鹿の背景を移動、動作確認中",動作テスト,"キャラが\n動いた","会話システムのテストプレイ画面、健太と小町の会話、感情色が表示、UI動作確認",会話テスト,"システムが\n動作","戦闘システムのテストプレイ画面、なぎさの攻撃モーション、エフェクト表示、バトル動作確認",戦闘テスト,"バトルが\n動作","ゲーム開発の実装フェーズ進行中。Unity エディタでキャラクター配置、移動・会話・戦闘の各システムをテスト、着実に形になってきています。
#ゲーム開発
#Unity
#実装中
#テストプレイ
#開発画面
#プログラミング
#システム開発
#Kitazuna"
ミニゲーム「なまはげ試練」の画面、2Dアクションゲーム、なぎさが雪山を駆ける、レトロゲーム風,"なまはげ\n試練","2D\nアクション","ミニゲーム「氷割り」の画面、ブロック崩し風、田沢湖の氷を砕く、青い氷ブロック",氷割り,"パズル\nゲーム","ミニゲーム「きりたんぽ鍋作り」の画面、料理パズルゲーム、食材を組み合わせる、可愛いイラスト",鍋作り,料理パズル,"ミニゲーム「竿燈チャレンジ」の画面、バランスゲーム、竿燈を倒さないように操作、金色の提灯","竿燈\nチャレンジ","バランス\nゲーム","各章に登場するミニゲーム制作中。なまはげ試練・氷割り・きりたんぽ鍋作り・竿燈チャレンジ、秋田文化を楽しく学べる多彩なミニゲームです。
#ミニゲーム
#2Dアクション
#パズル
#料理ゲーム
#バランスゲーム
#秋田文化
#ゲーム制作
#Kitazuna"
ゲーム内ECショップのUI画面、小町ショップの店内、秋田県産品が並ぶ棚、レトロゲーム風,"小町\nショップ","ゲーム内EC\n機能","秋田県産品のアイコン一覧、きりたんぽ・稲庭うどん・曲げわっぱ・川連漆器・比内地鶏、可愛いイラスト",秋田県産品,"実際に\n購入可能","商品詳細ページのUI画面、商品説明・価格・購入ボタン、わかりやすいデザイン",商品詳細,"スムーズな\n購入体験","購入完了画面、注文確認メッセージ、配送先入力、実際に自宅に届く仕組み",購入完了,"実物が\n自宅に届く","ゲーム内EC機能の開発中。小町ショップで秋田県産品を購入すると実際に自宅に届く革新的システム、地域経済と融合した新しいゲーム体験です。
#ゲーム内EC
#EC機能
#小町ショップ
#秋田県産品
#地域経済
#イノベーション
#新システム
#Kitazuna"
秋田弁の会話テキストサンプル、ゲーム画面に秋田弁が表示、「んだな」「したばって」など方言,秋田弁,"地域の言葉\nを大切に","標準語と秋田弁の比較表、同じセリフを2つの言語で表示、切り替え機能のUI",言語切替,"標準語/\n秋田弁","秋田弁監修者との打ち合わせ風景、ネイティブスピーカーに確認、正しい方言の使用",方言監修,"正確な秋田弁\nを実装","秋田弁の発音ガイド、イントネーション記号、読み方サポート、親切な設計",発音ガイド,わかりやすく,"ゲーム内会話に秋田弁を実装中。方言監修者と協力し正確な秋田弁を使用、標準語との切り替え機能で全国のプレイヤーが楽しめます。
#秋田弁
#方言
#言語設定
#ローカライズ
#地域性
#秋田
#会話システム
#Kitazuna"
開発チームif塾のメンバー集合写真、笑顔で作業している風景、パソコンとイラスト資料,開発チーム,"みんなで\n創る","代表・高崎翔太がプレゼンテーションする様子、情熱的に語る姿、秋田への想い",代表の情熱,"秋田を愛する\n想い","デザイナーがキャラクターを描いている作業風景、タブレットでイラスト制作、真剣な表情",デザイナー,"キャラを\n生み出す","プログラマーがコードを書いている作業風景、Unity エディタ画面、集中して開発",プログラマー,"ゲームを\n動かす","開発チームif塾のメンバーが日々奮闘中。代表の情熱、デザイナーの創造力、プログラマーの技術力、秋田を愛する仲間たちが最高のゲームを創ります。
#開発チーム
#if塾
#チームワーク
#秋田愛
#メンバー紹介
#協力
#ゲーム開発
#Kitazuna"
プロジェクトロードマップの図、2025年から2027年までのスケジュール、各フェーズの進捗,"ロード\nマップ","未来への\n計画","2025年フェーズ、企画・キャラクターデザイン・背景制作の進捗状況、現在10%完了",2025年,"企画段階\n進行中","2026年フェーズ、システム開発・ミニゲーム制作・音楽制作の計画、目標50%完了",2026年,"本格開発\nフェーズ","2027年フェーズ、テストプレイ・デバッグ・リリース準備、目標100%完了とリリース",2027年,"リリース\n目標","現在企画段階から着実に前進中。2025年はキャラデザイン・背景完成、2026年は本格システム開発、2027年リリース目標、長期ビジョンを共有します。
#ロードマップ
#スケジュール
#開発計画
#2025年
#2026年
#2027年
#リリース目標
#Kitazuna"
30日間の投稿を振り返る画像コラージュ、全キャラクター・背景・UI画面が並ぶ、華やかな集大成,30日間,"ありがとう\nございました","開発の歩みを示すタイムライン画像、ラフから完成までの制作過程、成長の記録",制作過程,"一歩ずつ\n前進","応援コメントとハートのイラスト、SNSでのシェアやいいね、ファンの声",応援感謝,"励みに\nなります","これからの展開予告、次のキャラクター・新システム・イベント情報、期待を膨らませる",これからも,"応援\nよろしく","30日間の開発日記、ご覧いただきありがとうございました。皆様の応援が大きな励みです、これからも秋田の魅力を伝えるため、チーム一丸となって頑張ります。
#感謝
#30日間
#ありがとう
#応援
#Kitazuna
#秋田
#ゲーム開発
#これからも"
