動画場面1説明,動画場面1テキストエリア1,動画場面1テキストエリア2,動画場面2説明,動画場面2テキストエリア1,動画場面2テキストエリア2,動画場面3説明,動画場面3テキストエリア1,動画場面3テキストエリア2,投稿のテキスト+ハッシュタグ
白い画面から健太のキャラクターラフ画がゆっくりと浮かび上がる画像。カメラは上から下にゆっくりパンし、鉛筆のタッチが際立つようにする,始動,Kitazuna\nプロジェクト,鉛筆で健太のキャラクター下絵を描いている手元の静止画。カメラは左上から右下に斜めにパンし、鉛筆の動きを加える,下絵から,一本の線が\n物語を紡ぐ,完成した健太のキャラクターデザインが中央に配置された画像。画像が徐々にズームインし、キャラクターの表情がクローズアップされる,キャラ誕生,主人公\n杉野健太,"完成はまだ先ですが、少しずつ形になってきたキャラクターたち。緒方孝治氏デザインのもと、Kitazunaプロジェクトが本格始動しました。
#Kitazuna
#ゲーム制作
#キャラクターデザイン
#緒方孝治
#開発開始
#秋田ゲーム
#インディーゲーム
#下絵"
ナマハゲの面がアップで配置された迫力ある静止画。カメラはゆっくり前進し、面の質感と迫力を強調する,なまはげ,伝統の力,ナギサのキャラクター線画を描いている作業画面の静止画。カメラは右から左にパンし、線を描く手の動きを加える,線画制作,伝統×現代の\n融合キャラ,完成したナギサが中央でポーズを決めている画像。カメラはナギサの周りを時計回りに360度回転する,ナギサ登場,男鹿の守護者,"なまはげをモチーフにした新キャラクター「ナギサ」の制作中。伝統的な力強さと親しみやすさを両立したデザインを目指しています。
#なまはげ
#ナギサ
#キャラクター制作
#男鹿
#伝統文化
#デザイン中
#ゲーム開発
#秋田"
カラーパレットと絵筆が整然と並ぶ作業デスクの俯瞰画像。カメラは上から下にゆっくりパンし、作業道具の配置を見せる,色塗り開始,命を吹き込む,ナギサのキャラクターに基礎色を塗っている制作画面の静止画。カメラはゆっくり右にパンし、色が塗られていく様子を強調,配色を決める,秋田の海と山\nイメージした\n青と緑,影と光を加えて立体感が増したナギサの画像。カメラはズームインしながら、仕上がりの質感を見せる,仕上げ工程,どんどん\nリアルに,"ナギサの色塗り工程を公開。秋田の豊かな自然をイメージした配色で、キャラクターに命を吹き込んでいきます。完成が楽しみです。
#色塗り
#イラスト制作
#配色
#制作過程
#ゲームアート
#開発中
#なまはげキャラ
#秋田の色"
完成したナギサのキャラクター立ち絵が中央に配置された画像。画像が360度回転して全身を見せる演出,完成,ナギサ\nお披露目,ナギサの表情差分（喜怒哀）が横並びで配置された画像。カメラは左から右にパンし、各表情を順に見せる,表情差分,感情を表現,ゲーム画面でナギサが立っている実装テスト画面の静止画。カメラはゆっくりズームインし、ゲーム内の様子を強調,ゲームに実装,動き出した,"ナギサ、ついに完成しました。表情差分も作成完了。ゲーム内での実装テストも順調です。これから他のキャラも順次制作していきます。
#ナギサ完成
#キャラクターお披露目
#表情差分
#ゲーム実装
#なまはげ
#制作完了
#Kitazuna
#開発進捗"
平安装束の資料写真が美しく配置された画像。カメラは上から下にゆっくりパンし、装束の細部を見せる,小野小町,歴史を学ぶ,コマチのキャラクター絵コンテが描かれた紙の画像。カメラは左上から右下に斜めにパンし、構図の検討過程を見せる,絵コンテ,平安美人×\nSNS時代,コマチがスマートフォンを持つ下絵が完成した画像。カメラはズームインしながら、現代的な要素と伝統の融合を強調,現代との融合,新しい\n小野小町,"次のキャラは湯沢を代表する「コマチ」。平安時代の優雅さと現代のSNS文化を融合させた、新しい小野小町像を制作中です。
#小野小町
#コマチ
#絵コンテ
#キャラデザ
#湯沢
#平安美人
#SNS
#制作中"
田沢湖の美しいブルーの湖面が広がる風景写真。カメラは前進しながら、湖の透明感と神秘性を強調,現地取材,リアルを追求,男鹿半島の海岸線を歩く人物のシルエットの画像。カメラは左から右にパンし、海岸線の美しさを見せる,ロケハン,秋田の風景を\n記録する,撮影した秋田の風景写真を見ながら背景デザインを描く作業画面。カメラはゆっくり右にパンし、資料と作業の様子を見せる,ゲームに再現,実在する場所,"ゲームに登場する場所を実際に訪問して取材中。秋田の美しい風景をゲーム内で忠実に再現するため、写真や動画で記録しています。
#現地取材
#田沢湖
#男鹿半島
#ロケハン
#聖地巡礼
#ゲーム背景
#秋田観光
#リアル再現"
ドット絵エディタで秋田駅を制作している画面の静止画。カメラはゆっくりズームインし、ピクセルの配置を見せる,背景制作,ドット絵の世界,レトロゲーム風の街並み背景が徐々に完成していく様子を段階的に見せる画像。カメラは上から下にパンする,ピクセル\nアート,懐かしい\nファミコン風,完成した背景に健太のドット絵キャラクターが立っているゲーム画面。カメラはゆっくり右にパンし、全体の雰囲気を見せる,背景完成,秋田の街を\n再現,"ゲーム背景の制作開始。レトロゲーム風のドット絵で秋田の街並みを表現。懐かしさと新しさが共存する世界観です。
#ドット絵
#背景イラスト
#レトロゲーム
#秋田駅
#ピクセルアート
#ゲーム背景
#制作中
#ファミコン風"
AIツールの画面にプロンプト入力している作業画面の静止画。カメラはゆっくり下にパンし、入力内容を見せる,AI活用,効率的な制作,AIで生成されたキャラクターの多角度イラストが4枚並んだ画像。カメラは左から右にパンし、各角度を順に見せる,AIで生成,様々な角度を\n一瞬で,生成した画像を手作業で調整している作業画面の静止画。カメラはズームインし、細かな修正作業を強調,人の手で調整,最後は職人技,"AI技術も活用して効率的にキャラクター制作を進行中。AIで生成した素材をベースに、人の手で丁寧に調整し個性を加えます。
#AI活用
#イラスト生成
#効率化
#キャラクター制作
#AI技術
#クリエイティブ
#ゲーム開発
#制作手法"
十二単の美しい色見本が並ぶ資料写真。カメラは上から下にゆっくりパンし、色の重なりの美しさを見せる,十二単,色の美学,コマチのキャラクターに色を塗っている制作画面の静止画。カメラは右から左にパンし、配色の工程を見せる,色塗り中,華やかな\n平安カラー,ほぼ完成したコマチの彩色イラストが中央に配置された画像。画像がゆっくり回転し、全体の仕上がりを見せる,完成間近,仕上げ段階,"コマチの色塗りが進行中。平安時代の十二単の美しい色の重なりを現代的にアレンジ。華やかで上品なキャラクターになりそうです。
#コマチ制作
#十二単
#配色
#平安時代
#色塗り
#イラスト
#小野小町
#制作進行中"
完成したコマチの立ち絵が中央に配置され、様々な表情が切り替わる画像。カメラはゆっくりズームインする,コマチ完成,2体目の仲間,コマチのゲーム内立ち絵が会話画面に表示されている静止画。カメラは前進しながら、会話UIの完成度を見せる,会話シーン,物語が広がる,健太とコマチが横並びで立っているゲーム画面の静止画。カメラは右から左にパンし、二人のキャラクターを見せる,仲間が増える,冒険が始まる,"コマチ完成。健太に続く2人目の仲間が誕生しました。ゲーム内での会話シーン実装テストも順調。キャラが増えるたび物語が広がります。
#コマチ完成
#キャラ追加
#小野小町
#ゲーム実装
#仲間キャラ
#Kitazuna
#湯沢
#開発進捗"
会話画面で「喜」の文字が黄色く光っている画像。カメラはゆっくりズームインし、感情色システムを強調,感情色,革新的\nシステム,「怒」の文字が赤く「悲」が青く光る様子が並んだ画像。カメラは左から右にパンし、各感情を順に見せる,漢字と色,感情を\n一文字で表現,様々な感情漢字が虹色に並ぶカラーパレットの画像。カメラは上から下にパンし、システムの多様性を見せる,日本文化,独自のUI,"Kitazunaの特徴的なシステム「感情色」。会話中の感情を漢字一文字と色で表現します。日本らしさを大切にした独自のUIです。
#感情色システム
#UI
#漢字
#日本文化
#ゲームシステム
#独自性
#革新的
#表現方法"
職人が稲庭うどんを手延べしている伝統の技の画像。カメラは前進しながら、職人の手元に焦点を合わせる,稲庭うどん,400年の技,イナニワのキャラクター下絵が描かれた紙の画像。カメラは上から下にゆっくりパンし、デザインの特徴を見せる,イナニワ制作,職人の心を\nキャラに,イナニワのデザイン案3パターンが横並びで配置された画像。カメラは左から右にパンし、各案を比較,デザイン検討,どれが\nいいかな,"次は稲庭うどんをモチーフにした「イナニワ」制作開始。400年の伝統を持つ職人技をキャラクターでどう表現するか、デザイン案を検討中。
#稲庭うどん
#イナニワ
#キャラデザ
#職人
#伝統技術
#秋田グルメ
#ゲームキャラ
#制作開始"
竿燈まつりの提灯が夜空に輝く美しい風景写真。カメラは下から上にゆっくりパンし、提灯の壮大さを見せる,竿燈まつり,秋田の夏,竿燈の演技者にインタビューしている取材風景の画像。カメラは左から右にパンし、現場の臨場感を見せる,現地の声,祭りへの想い,カントのキャラクター線画を描いている作業画面の静止画。カメラはズームインし、線画の特徴を強調,カント制作,祭りの情熱,"竿燈まつりの取材に行ってきました。実際の祭りの迫力と演技者の想いを肌で感じ、ゲームにどう落とし込むか構想を練っています。
#竿燈まつり
#現地取材
#秋田の祭り
#夏祭り
#伝統文化
#ロケハン
#取材
#秋田市"
カントの衣装に提灯デザインを加えている設定画の画像。カメラはズームインし、デザインの細部を見せる,衣装デザイン,祭りの要素,カントのダイナミックなポーズが複数描かれた画像。カメラは左から右にパンし、躍動感あるポーズを順に見せる,躍動感,熱気を表現,完成に近づくカントの彩色イラストが中央に配置された画像。カメラはゆっくり回転し、完成度を見せる,カント完成間近,もうすぐ,"竿燈まつりをモチーフにした「カント」のデザイン中。祭りの躍動感と情熱をキャラクターに込めています。完成をお楽しみに。
#竿燈
#カント
#キャラクター制作
#祭りキャラ
#竿燈まつり
#デザイン
#秋田
#制作中"
イナニワとカントが並んだイラストが中央に配置された画像。画像がゆっくりズームインし、親子の絆を強調,親子キャラ,世代を超えて,イナニワが真剣に麺を延ばす表情のクローズアップ画像。カメラはゆっくり前進し、職人の眼差しを捉える,職人の父,伝統を守る,カントが笑顔で竿燈を掲げる躍動的なイラスト。カメラは下から上に仰ぐようにパンし、力強さを見せる,革新の息子,新しい技に\n挑戦,"イナニワとカントは親子キャラクター。伝統を重んじる父と革新を求める息子の対立と和解の物語が展開されます。
#親子
#イナニワ
#カント
#稲庭うどん
#竿燈
#伝統と革新
#物語
#キャラ設定"
田沢湖のたつこ像が夕日に照らされる幻想的な風景写真。カメラはゆっくり前進し、像の神秘性を強調,たつこ姫,湖の伝説,たつこ姫のイラスト下絵を描いている作業風景の静止画。カメラは上から下にパンし、制作過程を見せる,制作開始,美の化身を\n描く,たつこ姫が水面から現れる幻想的なイラストの画像。カメラはゆっくりズームアウトし、全体の神秘的な雰囲気を見せる,神秘的,永遠の美,"田沢湖の伝説「たつこ姫」をゲームに登場させるべく制作中。美しく神秘的な湖の伝説をどう表現するか、構想を膨らませています。
#田沢湖
#たつこ姫
#伝説
#三湖伝説
#キャラクター
#神秘
#秋田観光
#制作構想"
ナマハゲの試練2Dアクションゲーム画面の静止画。カメラは右から左にパンし、ゲーム画面の躍動感を見せる,ミニゲーム,遊んで学ぶ,氷割りブロック崩しゲームをプレイしている画面の静止画。カメラはゆっくりズームインし、ゲームの楽しさを強調,氷割り,田沢湖の氷,クリア画面で星が輝いている画像。カメラは中央から外側にズームアウトし、達成感を演出,達成感,楽しい,"各章に登場するミニゲームの制作も進行中。アクション、パズル、リズムゲームなど多彩なジャンルで秋田文化を楽しめます。
#ミニゲーム
#2Dアクション
#パズル
#ゲーム制作
#秋田文化
#氷割り
#なまはげ
#開発中"
秋田犬が元気に走る可愛い写真。カメラは犬を追いかけるように右から左にパンし、愛らしさを見せる,秋田犬,忠義の心,サイボーグ風アキタのデザイン案スケッチの画像。カメラはズームインし、AI要素とのデザイン融合を強調,アキタ制作,AI×伝統,ハチ公の像の前でデザイン案を掲げている画像。カメラは前進しながら、ストーリーとの繋がりを見せる,忠犬ハチ公,ストーリーの核,"秋田犬をモチーフにしたAIキャラクター「アキタ」の制作開始。伝統的な忠犬のイメージに最新テクノロジーを融合させた斬新なデザイン。
#秋田犬
#ハチ公
#AI
#サイボーグ
#キャラクター
#大館
#テクノロジー
#制作開始"
きりたんぽ鍋が湯気を立てる美味しそうな写真。カメラは上から下にゆっくりパンし、食材の豊かさを見せる,きりたんぽ,秋田の味,きりたんぽと比内地鶏のキャラクターラフ案が並んだ画像。カメラは左から右にパンし、食材擬人化のアイデアを見せる,食材擬人化,グルメ対決,完成したきりたんぽ鍋を囲む温かい食事風景の画像。カメラはゆっくりズームインし、協力の温かさを演出,協力の力,最高の味,"きりたんぽをテーマにした章の制作中。秋田を代表する食材たちの対立と協力の物語を、美味しく温かく描きます。
#きりたんぽ
#比内地鶏
#秋田グルメ
#食材キャラ
#鹿角
#郷土料理
#物語
#制作中"
巨大ロボット咲誇のラフスケッチが描かれていく様子の画像。カメラは上から下にゆっくりパンし、描画過程を見せる,咲誇,最終章の希望,秋田杉をモチーフにしたデザインディテールのクローズアップ画像。カメラはズームインし、木の質感を強調,秋田杉,木のぬくもり,咲誇が太平山の頂上に立つ壮大なイメージ画像。カメラは下から上に仰ぎ見るようにパンし、圧倒的な存在感を見せる,太平山,秋田を見守る,"最終章に登場する巨大ロボット「咲誇」のデザイン開始。秋田杉の力強さと優しさを表現した、物語のクライマックスを飾る存在です。
#咲誇
#巨大ロボット
#秋田杉
#最終章
#デザイン
#太平山
#Kitazuna
#ボスキャラ"
健太とナギサの会話画面で感情漢字が表示されているゲーム画面の静止画。カメラはズームインし、UIの完成度を見せる,会話UI,物語を紡ぐ,キャラクターの顔グラフィックが表情豊かに変わる様子を段階的に見せる画像。カメラは左から右にパンする,顔グラ,表情の変化,会話ウィンドウのデザインを調整している作業画面の静止画。カメラは上から下にパンし、UI設計の様子を見せる,UI調整,使いやすく\n美しく,"会話システムのUI制作中。キャラクターの表情と感情色システムを組み合わせて、感情豊かな物語体験を提供します。
#会話システム
#UI制作
#ゲーム画面
#感情表現
#システム開発
#インターフェース
#Kitazuna
#開発進捗"
曲げわっぱの美しい木目をクローズアップした写真。カメラはゆっくりズームインし、木目の美しさを見せる,曲げわっぱ,大館の伝統,川連漆器の艶やかな赤い器が光に照らされる写真。カメラは回転しながら、漆器の光沢を見せる,川連漆器,湯沢の技,ゲーム内アイテムとして表示される工芸品のUI画面。カメラはズームインし、アイテムの質感を強調,アイテム化,伝統を\n持ち歩く,"ゲームに登場するアイテムとして秋田の伝統工芸品を採用。曲げわっぱ、漆器、樺細工など、美しい伝統の技を多くの人に知ってもらいたいです。
#伝統工芸
#曲げわっぱ
#川連漆器
#秋田
#アイテム
#ゲーム要素
#工芸品
#文化継承"
秋田県の地図に観光地を書き込んでいく作業風景の画像。カメラは上から下にパンし、マップ設計の様子を見せる,マップ設計,秋田県全体,各地の名所やキャラ位置をマークしていく様子の画像。カメラはゆっくりズームインし、詳細な配置を見せる,位置決め,冒険のルート,完成イメージのドット絵ワールドマップの画像。カメラは左上から右下に斜めにパンし、全体の広がりを見せる,マップ完成予想,レトロ調の\n世界,"ゲームのワールドマップ制作中。秋田県全域を舞台に、各地の名所や文化をゲーム内で巡れるように設計しています。
#ワールドマップ
#秋田県
#マップデザイン
#ドット絵
#ゲーム設計
#聖地巡礼
#観光
#制作中"
健太の歩行アニメーションのドット絵コマ送りが並んだ画像。カメラは左から右にパンし、動きの滑らかさを見せる,アニメ,キャラが動く,ナギサの攻撃モーションのフレーム制作画面の静止画。カメラはズームインし、モーションの迫力を強調,戦闘モーション,迫力ある動き,滑らかに動くキャラクターのゲーム画面の静止画。カメラは右から左にパンし、実装された動きを見せる,動きを実装,生き生きと,"キャラクターアニメーションの制作開始。歩く、走る、攻撃するなど、基本的な動作を滑らかに表現するため、1コマずつ丁寧に作成中。
#アニメーション
#モーション
#ドット絵
#キャラクター
#動き
#ゲーム開発
#制作
#フレームアニメ"
春夏秋冬の秋田の風景が美しく並んだ画像。カメラは上から下にゆっくりパンし、四季の移り変わりを見せる,四季の秋田,自然の移ろい,春の千秋公園の桜が満開の背景イラストの画像。カメラは前進しながら、桜の美しさを強調,春の秋田,桜の名所,夏の竿燈まつりの夜の背景イラストの画像。カメラはゆっくりズームアウトし、祭りの壮大さを見せる,夏の秋田,光の祭典,"秋田の美しい四季をゲーム内で表現するため、季節ごとの背景イラストを制作中。春夏秋冬それぞれの魅力を描きます。
#秋田の四季
#背景イラスト
#春夏秋冬
#風景
#季節
#千秋公園
#竿燈
#ゲームアート"
ゲーム内で秋田弁が表示されている会話画面の静止画。カメラはズームインし、方言の温かみを強調,秋田弁,方言の\n温かみ,標準語⇔秋田弁の切り替えボタンを操作する様子の画像。カメラは左から右にパンし、機能の使いやすさを見せる,切り替え機能,ON/OFF可能,地元の人が秋田弁を聞いて笑顔になる様子の画像。カメラはゆっくりズームインし、親しみやすさを演出,親しみ,地域の言葉,"ゲーム内の会話に秋田弁を取り入れる準備中。地域の言葉の温かみを大切にしつつ、標準語との切り替えも可能にする予定です。
#秋田弁
#方言
#ローカライズ
#会話
#地域性
#リアル
#ゲーム
#言語設定"
ゲーム内ショップ画面に秋田県産品が並ぶUI画面の静止画。カメラは上から下にパンし、商品ラインナップを見せる,EC機能,革新的\nシステム,実際の秋田県産品がパッケージされて発送される様子の画像。カメラは左から右にパンし、EC連携を強調,実物が届く,ゲーム×現実,購入者が商品を受け取って満足そうに微笑む画像。カメラはゆっくりズームインし、満足感を演出,新しい体験,デジタル経済,"ゲーム内EC機能の開発構想中。ゲーム内で秋田県産品を購入すると実際に自宅に届く、革新的なシステムを目指しています。
#ゲーム内EC
#EC機能
#秋田県産品
#イノベーション
#デジタル経済
#地域経済
#新システム
#構想中"
チーム全員が集まって打ち合わせしている風景写真。カメラは右から左にパンし、チームの一体感を見せる,開発チーム,みんなで創る,代表・高崎が秋田への想いを熱く語る様子の画像。カメラはゆっくり前進し、情熱を捉える,秋田愛,情熱の源,メンバーが笑顔で協力して作業している風景写真。カメラは上から下にパンし、和やかな雰囲気を見せる,協力,力を合わせて,"開発チームif(DELIC)のメンバーが日々奮闘中。秋田を愛する仲間たちが集まり、最高のゲームを作るために協力しています。
#開発チーム
#ifDELIC
#チームワーク
#秋田愛
#メンバー
#協力
#ゲーム開発
#仲間"
2025年のスケジュール表が画面に表示された画像。カメラは上から下にゆっくりスクロールし、予定を見せる,今後の予定,ロードマップ,各開発フェーズのマイルストーンが表示されたタイムライン画像。カメラは左から右にパンし、段階的な進捗を見せる,開発段階,一歩ずつ前進,完成予想図のイラストが表示された画像。カメラはゆっくりズームインし、期待感を高める,皆様の期待,励みになります,"現在企画段階ですが、着実に前進中。今後のスケジュールとマイルストーンを共有します。皆様の応援が励みです。
#ロードマップ
#スケジュール
#開発予定
#今後の展開
#マイルストーン
#企画段階
#進捗
#Kitazuna"
応援メッセージとハートマークが画面いっぱいに広がるイラスト。カメラは中央から外側にズームアウトし、感謝の気持ちを表現,感謝,ありがとう,ファンからの応援コメントが次々と表示される画像。カメラは下から上にスクロールし、コメントを見せる,応援の声,励みになります,開発メンバー全員の笑顔の集合写真。カメラはゆっくりズームインし、チームの絆を見せる,これからも,最高の作品を,"30日間、開発の様子をお届けしてきました。いつも見てくださりありがとうございます。これからも秋田の魅力を伝えるため、頑張ります。
#感謝
#ありがとう
#応援
#ファンの皆様
#Kitazuna
#秋田
#ゲーム開発
#これからも"